Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Manchester Ci..,EPL,13(1),1140,9,6,1,-,2.4,86.1,0.3,4,7.83
2018/2019,Manchester Ci..,UCL,6,511,1,1,1,-,2,81.3,0.2,-,7.61
2018/2019,England,UNL,3,258,2,-,1,-,1.3,80.6,0.7,-,6.98
2017/2018,Manchester Ci..,UCL,5(3),497,4,1,1,-,1.3,80.6,0.3,3,7.40
2017/2018,Manchester Ci..,EPL,29(4),2593,18,11,3,1,2.6,84,0.2,4,7.55
2016/2017,Manchester Ci..,UCL,7,577,2,3,3,-,1.9,84,0.3,-,7.25
2016/2017,Manchester Ci..,EPL,29(4),2517,7,6,7,-,1.9,80.4,0.4,4,7.05
2018,England,WC,6,456,-,1,-,-,1.7,86.8,0.5,-,6.59
2015/2016,Manchester Ci..,UCL,6(4),578,3,2,-,-,2,82.1,0.3,2,7.19
2015/2016,Manchester Ci..,EPL,23(8),1928,6,2,1,-,1.7,85.3,0.3,-,6.78
2014/2015,Liverpool,UCL,5(1),463,-,1,1,-,2.2,78.5,-,1,6.92
2014/2015,Liverpool,UEL,1(1),133,-,-,-,-,1,74.5,-,-,6.06
2014/2015,Liverpool,EPL,34(1),3053,7,7,5,-,2.4,81.1,0.1,3,7.27
2016,England,UEC,3,193,-,-,-,-,0.7,77.2,0.7,-,6.55
2013/2014,Liverpool,EPL,24(9),2221,9,5,3,-,1.4,81.7,0.3,2,7.40
2014,England,WC,2(1),183,-,-,1,-,1.3,88.2,0.7,-,6.54
2012/2013,Liverpool,UEL,1(6),187,-,-,-,-,0.6,79.7,0.3,-,6.14
2012/2013,Liverpool,EPL,19(5),1749,2,2,1,-,1.4,84.5,0.2,1,6.97
2011/2012,Liverpool,EPL,0(3),25,-,-,-,-,0.7,86.7,-,-,6.10
